id,name,price
332,"ALCATEL PIXI 4 (4.0"") White",7.00
333,"ALCATEL PIXI 4 (4.0"") Black",7.00
334,"ACER LIQUID Z330 Black",0.00
335,"ALCATEL PIXI 4 (5.0"") White",10.00
336,"ALCATEL PIXI 4 (5.0"") Black",10.00
337,"ACER LIQUID Z6E DS Black",10.00
338,"HUAWEI Y3II GOLD",12.00
339,"ASUS ZC451CG ZENFONE C Black",0.00
340,"HUAWEI Y3II BLACK",12.00
341,"HUAWEI Y5II SS WHITE",0.00
342,"HUAWEI Y3II WHITE",12.00
343,"ALCATEL POP 4 (5.0"") Silver",13.00
344,"ACER LIQUID Z530",0.00
345,"ALCATEL POP 4 (5.0"") Black",13.00
346,"ACER LIQUID ZEST Black",13.00
347,"ACER JADE Z White DS",0.00
348,"ACER LIQUID Z6 Gray",0.00
349,"HUAWEI Y6 WHITE",0.00
350,"HUAWEI Y5II BLACK",14.00
351,"HUAWEI Y5II WHITE",14.00
352,"HUAWEI Y6 BLACK",0.00
353,"SAMSUNG GALAXY J3 (2016) Black",0.00
354,"ALCATEL PIXI 4 (6.0"") Black",16.00
355,"SAMSUNG GALAXY J3 (2016) Black",17.00
356,"SAMSUNG GALAXY J3 (2016) Gold",17.00
357,"SAMSUNG J320F J3 2016 DS",17.00
358,"HUAWEI HONOR 4X BLACK",0.00
359,"SAMSUNG GALAXY J3 (2016) White",17.00
360,"LG K430 K10 Black",18.00
361,"HUAWEI Y6 II COMPACT Black",18.00
362,"ALCATEL IDOL 3 (4.7"") BLACK",0.00
363,"SAMSUNG GALAXY J1 (2016) White",18.00
364,"LG K430 K10 White",18.00
365,"HUAWEI Y6 II COMPACT White",18.00
366,"ALCATEL GO PLAY (5.0"")",19.00
367,"HUAWEI Y6 PRO DS Grey",0.00
368,"ALCATEL POP 3 (5.5"") Black",19.00
369,"ALCATEL POP 3 (5.5"") Silver",19.00
370,"ASUS ZE500KL ZENFONE LASER Whi",0.00
371,"HUAWEI P8 LITE DS GOLD",22.00
372,"ASUS ZE500KL ZENFONE LASER Gol",0.00
373,"HUAWEI P8 LITE DS Black",22.00
374,"LENOVO P70 Blue",0.00
375,"HUAWEI HONOR 7 LITE Grey",23.00
376,"HUAWEI HONOR 7 LITE Silver",23.00
377,"SAMSUNG GALAXY J5 (2016) White",24.00
378,"SAMSUNG A300F GALAXY A3 Silver",0.00
379,"SAMSUNG GALAXY J5 (2016) Gold",24.00
380,"SAMSUNG GALAXY J5 (2016) Black",24.00
