id,name,price
260,"BLU Z3 M110 RED",15.00
261,"BLU Z3 M110 BLUE",15.00
262,"BLU DIVA FLIP T390 SILVER",25.00
263,"BLU TANK EXTREME 2.4 T450 RED",29.00
264,"KINGZONE S3  BLUE",63.00
265,"ULEFONE U007 PRO BLACK",68.00
266,"ULEFONE U007 PRO GREY",68.00
267,"BLACK BERRY LEAP SHADOW GREY",125.00
268,"SAMSUNG GALAXY J3 2016 BLACK",129.00
269,"LG X SCREEN BLACK",169.00
270,"SAMSUNG GALAXY J5 2016 GOLD",173.00
271,"HUAWEI HONOR 7 LITE BLACK",180.00
272,"BLACKBERRY PASSPORT BLACK",199.00
273,"LG STYLUS 2 WHITE",199.00
274,"HTC S9 SILVER",215.00
275,"HTC S9 GOLD",215.00
276,"BLACKBERRY DTEK50 16GB BLACK",245.00
277,"BLACK BERRY Q20",249.00
278,"HTC A9 32 GB SILVER",249.00
279,"SAMSUNG GALAXY A3 2017 GOLD",255.00
280,"SAMSUNG GALAXY A3 2017  BLACK SKY",255.00
281,"XIAOMI MI 5 3GB/64GB GOLD",285.00
282,"SONY XPERIA Z3+ BLACK",299.00
283,"CATERPILLAR CAT S40 BLACK",315.00
284,"LG V10 64 GB BLACK",320.00
285,"SONY XPERIA Z3+ WHITE",320.00
286,"LG G5 GOLD",325.00
287,"LG X FAST BLACK TITAN",325.00
288,"LG X FAST WHITE",325.00
289,"SAMSUNG GALAXY A5 2017 GOLD",325.00
290,"LG G5  TITAN",325.00
291,"SAMSUNG GALAXY A5 2017 BLUE",325.00
292,"LG G5 BLACK",325.00
293,"SONY XPERIA X 64 GB ROSE GOLD",335.00
294,"XIAOMI REDMI 5S 4GB/32GB GOLD",345.00
295,"XIAOMI MI 5S 3GB/64GB GOLD",349.00
296,"HTC M10 GOLD",350.00
297,"HTC 10 EVO 32 GB GOLD",350.00
298,"SAMSUNG GALAXY A7 2017 GOLD",360.00
299,"SAMSUNG GALAXY A7 2017 BLACK",360.00
300,"LG V20 64 GB BLACK",380.00
301,"XIAOMI MI 5S PLUS 4GB/64GB GOLD",399.00
302,"SONY XPERIA X PERFORMANCE 64 GB BLACK",399.00
303,"SONY XPERIA X PERFORMANCE 64 GB ROSE GOLD",399.00
304,"BLACKBERRY DTEK60 32GB BLACK",420.00
305,"XIAOMI MI 5S 4GB/128GB GOLD",440.00
306,"SAMSUNG GALAXY NOTE 5 GOLD",449.00
307,"SAMSUNG GALAXY NOTE 5 BLACK",449.00
308,"HTC M10 GREY",470.00
309,"XIAOMI MI 5S PLUS 6GB/128GB GOLD",499.00
310,"XIAOMI MI NOTE 2 4GB/64GB BLACK",555.00
311,"BLACKBERRY KEY ONE",565.00
312,"XIAOMI MI NOTE 2 6GB/128GB BLACK",585.00
313,"SAMSUNG GALAXY S8 64 GB BLACK",585.00
314,"SAMSUNG GALAXY S8 64 GB ORCHID GRAY",585.00
315,"SAMSUNG GALAXY S8 64 GB GOLD",585.00
316,"APPLE IPHONE 7 32GB BLACK",599.00
317,"APPLE IPHONE 7 32GB GOLD",599.00
318,"APPLE IPHONE 7 32GB ROSE GOLD",599.00
319,"SAMSUNG GALAXY S8+ 64GB BLACK",685.00
320,"SAMSUNG GALAXY S8+ 64GB ORCHID GRAY",685.00
321,"SAMSUNG GALAXY S8+ 64GB SILVER",685.00
322,"APPLE IPHONE 7 PLUS 32 GB BLACK",699.00
323,"APPLE IPHONE 7 PLUS 32 GB GOLD",699.00
324,"APPLE IPHONE 7 PLUS 32 GB ROSE GOLD",699.00
325,"APPLE IPHONE 7 128GB RED",725.00
326,"APPLE IPHONE 7 PLUS 128GB BLACK",799.00
327,"APPLE IPHONE 7 PLUS 128GB GOLD",799.00
328,"APPLE IPHONE 7 PLUS 128GB ROSE GOLD",799.00
329,"APPLE IPHONE 7 PLUS 128GB JET BLACK",799.00
330,"APPLE IPHONE 7 PLUS 128 GB SILVER",799.00
331,"APPLE IPHONE 7 PLUS 128GB RED",825.00
