id,name,price
916,"SAMSUNG GALAXY S8+ Black","114,990.0"
917,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
918,"SAMSUNG GALAXY S8 Black","99,990.0"
919,"HUB S-LINK 4PORT USB 2.0",750.0
920,"LP HP 250 G5 W4M66EA","35,990.0"
921,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
922,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
923,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
924,"ACER LIQUID Z6 Gray","16,990.0"
925,"HUAWEI Y6 PRO DS Grey","22,990.0"
926,"HUAWEI Y3II GOLD","12,990.0"
927,"HUAWEI MATE 8 Grey","74,990.0"
928,"ALCATEL 2045X TIGER XL Black","5,990.0"
929,"ALCATEL 2045X TIGER XL White","5,990.0"
930,"HUAWEI P9 Grey","64,990.0"
931,"HUAWEI HONOR 7 LITE Grey","23,990.0"
932,"HUAWEI HONOR 7 LITE Silver","23,990.0"
933,"SAMSUNG GALAXY A5 (2016) White","42,990.0"
934,"ACER LIQUID Z330 Black","11,990.0"
935,"ACER LIQUID Z530","18,990.0"
936,"ACER LIQUID Z630S","29,990.0"
937,"HUAWEI HONOR 8 DS Blue","51,990.0"
938,"HUAWEI HONOR 8 DS White","51,990.0"
939,"ALCATEL 6055K IDOL 4 + VR Blac","42,990.0"
940,"SAMSUNG GALAXY S8+ Black","114,990.0"
941,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
942,"SAMSUNG GALAXY S8 Black","99,990.0"
943,"HUB S-LINK 4PORT USB 2.0",750.0
944,"LP HP 250 G5 W4M66EA","35,990.0"
945,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
946,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
947,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
948,"ALCATEL POP 4 (5.0"") Black","13,990.0"
949,"HUAWEI Y5II WHITE","14,990.0"
950,"HUAWEI Y5II BLACK","14,990.0"
951,"iPhone 7 128GB - RED","119,990.0"
